region,category,powertrain,year,unit,value,parameter_EV sales,parameter_EV sales share,parameter_EV stock,parameter_EV stock share,parameter_Electricity demand,parameter_Oil displacement Mbd,"parameter_Oil displacement, million lge",powertrain_BEV,powertrain_EV,powertrain_FCEV,powertrain_PHEV
India,Projection-STEPS,EV,2021,percent,0.0540000014007091,False,False,False,True,False,False,False,False,True,False,False
India,Projection-STEPS,EV,2021,GWh,0.0529999993741512,False,False,False,False,True,False,False,False,True,False,False
India,Projection-STEPS,EV,2021,percent,0.3499999940395355,False,True,False,False,False,False,False,False,True,False,False
India,Projection-STEPS,EV,2021,Milion barrels per day,0.0003499999875202,False,False,False,False,False,True,False,False,True,False,False
India,Projection-STEPS,EV,2021,"Oil displacement, million lge",20.0,False,False,False,False,False,False,True,False,True,False,False
India,Projection-STEPS,EV,2022,Milion barrels per day,0.001300000003539,False,False,False,False,False,True,False,False,True,False,False
India,Projection-STEPS,EV,2022,"Oil displacement, million lge",72.0,False,False,False,False,False,False,True,False,True,False,False
India,Projection-STEPS,EV,2022,percent,1.2000000476837158,False,True,False,False,False,False,False,False,True,False,False
India,Projection-STEPS,EV,2022,GWh,0.0740000009536743,False,False,False,False,True,False,False,False,True,False,False
India,Projection-STEPS,EV,2022,percent,0.1500000059604644,False,False,False,True,False,False,False,False,True,False,False
India,Projection-STEPS,BEV,2022,Vehicles,48000.0,True,False,False,False,False,False,False,True,False,False,False
India,Projection-STEPS,FCEV,2022,Vehicles,3.0,False,False,True,False,False,False,False,False,False,True,False
India,Projection-STEPS,FCEV,2022,Vehicles,2.0,True,False,False,False,False,False,False,False,False,True,False
India,Projection-STEPS,BEV,2022,Vehicles,72000.0,False,False,True,False,False,False,False,True,False,False,False
India,Projection-STEPS,PHEV,2022,Vehicles,120.0,False,False,True,False,False,False,False,False,False,False,True
India,Projection-STEPS,PHEV,2022,Vehicles,23.0,True,False,False,False,False,False,False,False,False,False,True
India,Projection-STEPS,PHEV,2023,Vehicles,270.0,True,False,False,False,False,False,False,False,False,False,True
India,Projection-STEPS,PHEV,2023,Vehicles,390.0,False,False,True,False,False,False,False,False,False,False,True
